,,,,,,,
, ,ADF,ADICP,aNDF,Fat,Lignin,NDICP
,ADF,1.00,.,.,.,.,.
,ADICP,0.28,1.00,.,.,.,.
,aNDF,0.96,0.20,1.00,.,.,.
,Fat,0.52,0.33,0.53,1.00,.,.
,Lignin,0.79,0.30,0.76,0.59,1.00,.
,NDICP,-0.02,0.31,-0.05,-0.13,-0.05,1.00
,,,,,,,
,,,,,,,
, ,CP,Mg,P,,,
,CP,1.00,.,.,,,
,Mg,0.60,1.00,.,,,
,P,0.45,0.18,1.00,,,
,,,,,,,
,,,,,,,
, ,ESC,Starch,WSC,,,
,ESC,1.00,.,.,,,
,Starch,0.46,1.00,.,,,
,WSC,0.41,-0.10,1.00,,,
,,,,,,,
, ,Ash,Ca,DM,K,,
,Ash,1.00,.,.,.,,
,Ca,0.00,1.00,.,.,,
,DM,-0.07,-0.11,1.00,.,,
,K,0.19,0.50,-0.10,1.00,,
